question,answer
Karaciğer fibrozisi nedir,"Fibrozis, karaciğer dokusunda aşırı bağ dokusu oluşmasıdır. Kronik iltihaplanma sonucu gelişir ve ileri aşamada siroza dönüşebilir."
Karaciğerde fibrozis ne şekilde tanımlanır?,"Fibrozis, karaciğer dokusunda aşırı bağ dokusu oluşmasıdır. Kronik iltihaplanma sonucu gelişir ve ileri aşamada siroza dönüşebilir."
Karaciğer dokusunda skarlaşma ne demektir?,"Fibrozis, karaciğer dokusunda aşırı bağ dokusu oluşmasıdır. Kronik iltihaplanma sonucu gelişir ve ileri aşamada siroza dönüşebilir."
Karaciğerdeki fibrozis tam olarak ne oluyor?,"Fibrozis, karaciğer dokusunda aşırı bağ dokusu oluşmasıdır. Kronik iltihaplanma sonucu gelişir ve ileri aşamada siroza dönüşebilir."
Karaciğer ile ilgili: Fibrozis ile siroz arasındaki fark nedir,"Fibrozis, skar dokusu oluşumudur; siroz ise bu skarların karaciğerin yapısını ve işlevini ciddi şekilde bozduğu ileri evredir."
Karaciğer ile ilgili: Siroz ve fibrozis arasındaki temel farklar nelerdir?,"Fibrozis, skar dokusu oluşumudur; siroz ise bu skarların karaciğerin yapısını ve işlevini ciddi şekilde bozduğu ileri evredir."
Karaciğer ile ilgili: Fibrozis ile sirozun ayrımı nedir?,"Fibrozis, skar dokusu oluşumudur; siroz ise bu skarların karaciğerin yapısını ve işlevini ciddi şekilde bozduğu ileri evredir."
Karaciğer ile ilgili: Fibrozis ve siroz arasında ne gibi farklar var?,"Fibrozis, skar dokusu oluşumudur; siroz ise bu skarların karaciğerin yapısını ve işlevini ciddi şekilde bozduğu ileri evredir."
Karaciğer hastalıkları bulaşıcı mıdır,"Hepatit A, B ve C gibi viral enfeksiyonlar bulaşıcıdır; yağlı karaciğer, siroz gibi hastalıklar bulaşıcı değildir."
Bulaşıcı olan karaciğer hastalıkları hangileridir?,"Hepatit A, B ve C gibi viral enfeksiyonlar bulaşıcıdır; yağlı karaciğer, siroz gibi hastalıklar bulaşıcı değildir."
Karaciğer rahatsızlıkları başkalarına geçer mi?,"Hepatit A, B ve C gibi viral enfeksiyonlar bulaşıcıdır; yağlı karaciğer, siroz gibi hastalıklar bulaşıcı değildir."
Karaciğer hastalıkları başkasına bulaşır mı?,"Hepatit A, B ve C gibi viral enfeksiyonlar bulaşıcıdır; yağlı karaciğer, siroz gibi hastalıklar bulaşıcı değildir."
Karaciğer ile ilgili: Hepatit B kronik midir,Bazı kişilerde Hepatit B enfeksiyonu kronikleşebilir ve ömür boyu taşıyıcılık riski taşır.
Karaciğer ile ilgili: Hepatit B enfeksiyonu kalıcı olabilir mi?,Bazı kişilerde Hepatit B enfeksiyonu kronikleşebilir ve ömür boyu taşıyıcılık riski taşır.
Karaciğer ile ilgili: Hepatit B uzun süreli bir hastalık mıdır?,Bazı kişilerde Hepatit B enfeksiyonu kronikleşebilir ve ömür boyu taşıyıcılık riski taşır.
Karaciğer ile ilgili: Hepatit B hep kalır mı?,Bazı kişilerde Hepatit B enfeksiyonu kronikleşebilir ve ömür boyu taşıyıcılık riski taşır.
Karaciğer ile ilgili: Hepatit C tedavi edilebilir mi,"Evet, yeni ilaçlar sayesinde çoğu Hepatit C vakası tamamen tedavi edilebilmektedir."
Karaciğer ile ilgili: Hepatit C hastalığı tamamen iyileştirilebilir mi?,"Evet, yeni ilaçlar sayesinde çoğu Hepatit C vakası tamamen tedavi edilebilmektedir."
Karaciğer ile ilgili: Hepatit C için kesin çözüm var mı?,"Evet, yeni ilaçlar sayesinde çoğu Hepatit C vakası tamamen tedavi edilebilmektedir."
Karaciğer ile ilgili: Hepatit C geçer mi?,"Evet, yeni ilaçlar sayesinde çoğu Hepatit C vakası tamamen tedavi edilebilmektedir."
Karaciğer kendini yeniler mi,"Evet, karaciğer yenilenme kapasitesine sahip tek organdır; ancak sürekli hasar görürse bu yetenek azalır."
Karaciğer dokusu tekrar oluşabilir mi?,"Evet, karaciğer yenilenme kapasitesine sahip tek organdır; ancak sürekli hasar görürse bu yetenek azalır."
Karaciğer hücreleri yeniden büyür mü?,"Evet, karaciğer yenilenme kapasitesine sahip tek organdır; ancak sürekli hasar görürse bu yetenek azalır."
Karaciğer hücreleri tekrar oluşur mu?,"Evet, karaciğer yenilenme kapasitesine sahip tek organdır; ancak sürekli hasar görürse bu yetenek azalır."
Karaciğer nakli kimlere yapılır,"İleri derecede siroz, karaciğer yetmezliği veya tedavi edilemeyen karaciğer kanseri olan hastalara nakil önerilir."
Karaciğer nakli hangi hastalara uygulanır?,"İleri derecede siroz, karaciğer yetmezliği veya tedavi edilemeyen karaciğer kanseri olan hastalara nakil önerilir."
Karaciğer transplantasyonu kimler için gereklidir?,"İleri derecede siroz, karaciğer yetmezliği veya tedavi edilemeyen karaciğer kanseri olan hastalara nakil önerilir."
Kimler karaciğer nakli olabilir?,"İleri derecede siroz, karaciğer yetmezliği veya tedavi edilemeyen karaciğer kanseri olan hastalara nakil önerilir."
Karaciğer nakli riskli midir,"Evet, büyük bir cerrahi işlemdir; reddetme riski, enfeksiyon ve komplikasyonlar görülebilir."
Karaciğer nakli sırasında hangi riskler vardır?,"Evet, büyük bir cerrahi işlemdir; reddetme riski, enfeksiyon ve komplikasyonlar görülebilir."
Karaciğer nakli tehlikeli bir işlem mi?,"Evet, büyük bir cerrahi işlemdir; reddetme riski, enfeksiyon ve komplikasyonlar görülebilir."
Karaciğer nakli yaptırmak riskli mi?,"Evet, büyük bir cerrahi işlemdir; reddetme riski, enfeksiyon ve komplikasyonlar görülebilir."
Karaciğer hastalıklarında hangi testler yapılır,"Kan testleri (ALT, AST, bilirubin), görüntüleme (USG, MR, BT) ve gerekirse biyopsi yapılır."
Karaciğer hastalıklarında tanı için hangi testler kullanılır?,"Kan testleri (ALT, AST, bilirubin), görüntüleme (USG, MR, BT) ve gerekirse biyopsi yapılır."
Karaciğer hastalıklarında hangi tahliller istenir?,"Kan testleri (ALT, AST, bilirubin), görüntüleme (USG, MR, BT) ve gerekirse biyopsi yapılır."
Karaciğer hastalığı için hangi testlere bakılır?,"Kan testleri (ALT, AST, bilirubin), görüntüleme (USG, MR, BT) ve gerekirse biyopsi yapılır."
Karaciğer ultrasonu neyi gösterir,"Karaciğerin boyutunu, yağlanmayı, kitle veya tümör varlığını, safra yollarını inceler."
Karaciğer ultrasonunda neler değerlendirilir?,"Karaciğerin boyutunu, yağlanmayı, kitle veya tümör varlığını, safra yollarını inceler."
Karaciğer ultrasonu ile hangi bulgular saptanır?,"Karaciğerin boyutunu, yağlanmayı, kitle veya tümör varlığını, safra yollarını inceler."
Karaciğer ultrasonu ne işe yarar?,"Karaciğerin boyutunu, yağlanmayı, kitle veya tümör varlığını, safra yollarını inceler."
Alkol karaciğere nasıl zarar verir,"Aşırı alkol tüketimi karaciğer hücrelerini öldürür, iltihap ve skar oluşumuna yol açar."
Alkolün karaciğere etkisi nedir?,"Aşırı alkol tüketimi karaciğer hücrelerini öldürür, iltihap ve skar oluşumuna yol açar."
Alkol kullanımı karaciğeri nasıl etkiler?,"Aşırı alkol tüketimi karaciğer hücrelerini öldürür, iltihap ve skar oluşumuna yol açar."
Alkol karaciğeri nasıl bozar?,"Aşırı alkol tüketimi karaciğer hücrelerini öldürür, iltihap ve skar oluşumuna yol açar."
Yağlı karaciğer nasıl anlaşılır,"Genelde belirti vermez, kan testleri ve ultrason ile teşhis edilir."
Yağlı karaciğerin tanısı nasıl konur?,"Genelde belirti vermez, kan testleri ve ultrason ile teşhis edilir."
Karaciğerde yağlanma nasıl tespit edilir?,"Genelde belirti vermez, kan testleri ve ultrason ile teşhis edilir."
Yağlı karaciğer olup olmadığı nasıl anlaşılır?,"Genelde belirti vermez, kan testleri ve ultrason ile teşhis edilir."
Karaciğer kisti nedir,"Karaciğerde içi sıvı dolu, genelde iyi huylu keseciklerdir."
Karaciğer kisti ne anlama gelir?,"Karaciğerde içi sıvı dolu, genelde iyi huylu keseciklerdir."
Karaciğerdeki kistler nedir?,"Karaciğerde içi sıvı dolu, genelde iyi huylu keseciklerdir."
Karaciğerde kist olması ne demek?,"Karaciğerde içi sıvı dolu, genelde iyi huylu keseciklerdir."
Karaciğer tümörü kötü huylu mu olur,"Bazı tümörler iyi huyludur (hemanjiyom), bazıları kötü huylu olabilir (HCC)."
Karaciğer tümörleri genellikle kötü huylu mudur?,"Bazı tümörler iyi huyludur (hemanjiyom), bazıları kötü huylu olabilir (HCC)."
Karaciğerdeki tümörler zararlı mı?,"Bazı tümörler iyi huyludur (hemanjiyom), bazıları kötü huylu olabilir (HCC)."
Karaciğerde tümör çıkarsa kötü mü olur?,"Bazı tümörler iyi huyludur (hemanjiyom), bazıları kötü huylu olabilir (HCC)."
Karaciğer metastazı nedir,Başka bir organdaki kanserin karaciğere yayılmasıdır. En sık kolorektal kanserlerde görülür.
Karaciğere metastaz ne demektir?,Başka bir organdaki kanserin karaciğere yayılmasıdır. En sık kolorektal kanserlerde görülür.
Karaciğerde metastaz oluşumu nedir?,Başka bir organdaki kanserin karaciğere yayılmasıdır. En sık kolorektal kanserlerde görülür.
Karaciğere başka yerden kanser sıçrar mı?,Başka bir organdaki kanserin karaciğere yayılmasıdır. En sık kolorektal kanserlerde görülür.
Karaciğer hastalıklarında diyet nasıl olmalı,"Yağdan fakir, taze sebze-meyve ağırlıklı, tuz ve şeker kısıtlı diyet önerilir."
Karaciğer hastalıklarında beslenme nasıl düzenlenmeli?,"Yağdan fakir, taze sebze-meyve ağırlıklı, tuz ve şeker kısıtlı diyet önerilir."
Karaciğer hastalığı olanlar nasıl beslenmeli?,"Yağdan fakir, taze sebze-meyve ağırlıklı, tuz ve şeker kısıtlı diyet önerilir."
"Karaciğer hastalığında ne yemeli, ne yememeli?","Yağdan fakir, taze sebze-meyve ağırlıklı, tuz ve şeker kısıtlı diyet önerilir."
Karaciğer ile ilgili: Hepatit taşıyıcıları nelere dikkat etmeli,"Kan yoluyla bulaştırmamaya dikkat etmeli, düzenli doktor kontrolünde olmalı, aşı takvimine uymalıdır."
Karaciğer ile ilgili: Hepatit taşıyıcıları için önemli noktalar nelerdir?,"Kan yoluyla bulaştırmamaya dikkat etmeli, düzenli doktor kontrolünde olmalı, aşı takvimine uymalıdır."
Karaciğer ile ilgili: Hepatit virüsü taşıyanlar neye dikkat etmeli?,"Kan yoluyla bulaştırmamaya dikkat etmeli, düzenli doktor kontrolünde olmalı, aşı takvimine uymalıdır."
Karaciğer ile ilgili: Hepatit taşıyıcısı olanlar nelere dikkat etmeli?,"Kan yoluyla bulaştırmamaya dikkat etmeli, düzenli doktor kontrolünde olmalı, aşı takvimine uymalıdır."
Karaciğer ile ilgili: Hamilelikte hepatit B tehlikeli midir,"Anneden bebeğe geçiş riski vardır, doğumda önlem alınmalı ve bebek aşılanmalıdır."
Karaciğer ile ilgili: Hamilelikte hepatit B riski nedir?,"Anneden bebeğe geçiş riski vardır, doğumda önlem alınmalı ve bebek aşılanmalıdır."
Karaciğer ile ilgili: Hamilelikte hepatit B bulaşır mı?,"Anneden bebeğe geçiş riski vardır, doğumda önlem alınmalı ve bebek aşılanmalıdır."
Karaciğer ile ilgili: Hamileyken hepatit B olursa ne olur?,"Anneden bebeğe geçiş riski vardır, doğumda önlem alınmalı ve bebek aşılanmalıdır."
Karaciğer kanseri erken teşhis edilebilir mi,"Risk gruplarında düzenli tarama (USG, AFP testi) ile erken tanı mümkündür."
Karaciğer kanseri erken dönemde tespit edilebilir mi?,"Risk gruplarında düzenli tarama (USG, AFP testi) ile erken tanı mümkündür."
Karaciğer kanseri için erken tanı mümkün mü?,"Risk gruplarında düzenli tarama (USG, AFP testi) ile erken tanı mümkündür."
Karaciğer kanseri baştan anlaşılır mı?,"Risk gruplarında düzenli tarama (USG, AFP testi) ile erken tanı mümkündür."
Karaciğer ile ilgili: AFP testi nedir,"Alfa-fetoprotein testi, karaciğer kanserinde yükselir; tarama ve takipte kullanılır."
Karaciğer ile ilgili: AFP testi ne işe yarar?,"Alfa-fetoprotein testi, karaciğer kanserinde yükselir; tarama ve takipte kullanılır."
Karaciğer ile ilgili: Alfa-fetoprotein testi nedir?,"Alfa-fetoprotein testi, karaciğer kanserinde yükselir; tarama ve takipte kullanılır."
Karaciğer ile ilgili: AFP testi neden yapılır?,"Alfa-fetoprotein testi, karaciğer kanserinde yükselir; tarama ve takipte kullanılır."
Karaciğer hastalıklarında hangi vitaminler önemlidir,"D vitamini, B12 ve folat düzeyleri takip edilir; eksiklikler desteklenebilir."
Karaciğer hastalıklarında önemli vitaminler hangileridir?,"D vitamini, B12 ve folat düzeyleri takip edilir; eksiklikler desteklenebilir."
Karaciğer hastalığında hangi vitaminler takip edilmeli?,"D vitamini, B12 ve folat düzeyleri takip edilir; eksiklikler desteklenebilir."
Karaciğer hastalığı olanlar hangi vitaminleri almalı?,"D vitamini, B12 ve folat düzeyleri takip edilir; eksiklikler desteklenebilir."
Obezite karaciğer hastalığı yapar mı,"Evet, obezite NAFLD’nin en büyük risk faktörlerinden biridir."
Obezite karaciğer hastalığına sebep olur mu?,"Evet, obezite NAFLD’nin en büyük risk faktörlerinden biridir."
Şişmanlık karaciğeri bozar mı?,"Evet, obezite NAFLD’nin en büyük risk faktörlerinden biridir."
Kilolu olmak karaciğeri etkiler mi?,"Evet, obezite NAFLD’nin en büyük risk faktörlerinden biridir."
Karaciğer sağlığı için egzersiz önemli mi,"Düzenli fiziksel aktivite, kilo kontrolü sağlar ve yağlı karaciğer riskini azaltır."
Karaciğer sağlığı için sporun önemi nedir?,"Düzenli fiziksel aktivite, kilo kontrolü sağlar ve yağlı karaciğer riskini azaltır."
Egzersiz karaciğeri korur mu?,"Düzenli fiziksel aktivite, kilo kontrolü sağlar ve yağlı karaciğer riskini azaltır."
Karaciğer için hareket etmek faydalı mı?,"Düzenli fiziksel aktivite, kilo kontrolü sağlar ve yağlı karaciğer riskini azaltır."
Karaciğer ile ilgili: Sirozda asit nedir,Karın boşluğunda sıvı birikmesidir; karaciğer yetmezliği belirtisidir.
Karaciğer ile ilgili: Sirozda asit oluşumu ne demektir?,Karın boşluğunda sıvı birikmesidir; karaciğer yetmezliği belirtisidir.
Karaciğer ile ilgili: Asit birikimi sirozda ne anlama gelir?,Karın boşluğunda sıvı birikmesidir; karaciğer yetmezliği belirtisidir.
Karaciğer ile ilgili: Sirozda karında sıvı neden olur?,Karın boşluğunda sıvı birikmesidir; karaciğer yetmezliği belirtisidir.
Karaciğer ile ilgili: Asit nasıl tedavi edilir,"İdrar söktürücü ilaçlar, tuz kısıtlaması, gerekirse sıvı boşaltımı yapılır."
Karaciğer ile ilgili: Asit tedavisinde hangi yöntemler kullanılır?,"İdrar söktürücü ilaçlar, tuz kısıtlaması, gerekirse sıvı boşaltımı yapılır."
Karaciğer ile ilgili: Asit birikimi nasıl giderilir?,"İdrar söktürücü ilaçlar, tuz kısıtlaması, gerekirse sıvı boşaltımı yapılır."
Karaciğer ile ilgili: Karında sıvı varsa ne yapılır?,"İdrar söktürücü ilaçlar, tuz kısıtlaması, gerekirse sıvı boşaltımı yapılır."
Karaciğer ile ilgili: Portal hipertansiyon nedir,"Sirozda karaciğere gelen damarlarda basınç artışı olur; varis, asit oluşumuna sebep olur."
Karaciğer ile ilgili: Portal hipertansiyonun tanımı nedir?,"Sirozda karaciğere gelen damarlarda basınç artışı olur; varis, asit oluşumuna sebep olur."
Karaciğerde portal basınç artışı ne demek?,"Sirozda karaciğere gelen damarlarda basınç artışı olur; varis, asit oluşumuna sebep olur."
Karaciğer ile ilgili: Portal hipertansiyon olursa ne olur?,"Sirozda karaciğere gelen damarlarda basınç artışı olur; varis, asit oluşumuna sebep olur."
Karaciğer ile ilgili: Özofagus varisi nedir,Portal hipertansiyon sonucu yemek borusunda genişleyen damarlardır; kanama riski taşır.
Karaciğer ile ilgili: Özofagus varislerinin anlamı nedir?,Portal hipertansiyon sonucu yemek borusunda genişleyen damarlardır; kanama riski taşır.
Karaciğer ile ilgili: Yemek borusunda varis olması ne demek?,Portal hipertansiyon sonucu yemek borusunda genişleyen damarlardır; kanama riski taşır.
Karaciğer ile ilgili: Özofagus varisi çıkarsa ne olur?,Portal hipertansiyon sonucu yemek borusunda genişleyen damarlardır; kanama riski taşır.
Karaciğer hastalığında kanama riski neden artar,Karaciğer pıhtılaşma faktörlerini üretir; hasarlandığında kanama eğilimi artar.
Karaciğer hastalığında kanama eğilimi neden olur?,Karaciğer pıhtılaşma faktörlerini üretir; hasarlandığında kanama eğilimi artar.
Karaciğer hastalığında kanama neden olur?,Karaciğer pıhtılaşma faktörlerini üretir; hasarlandığında kanama eğilimi artar.
Karaciğer hastalığı olanlar neden kolay kanar?,Karaciğer pıhtılaşma faktörlerini üretir; hasarlandığında kanama eğilimi artar.
Karaciğer hastalıkları cinsel yolla bulaşır mı,Hepatit B ve C cinsel temasla bulaşabilir; diğer hastalıklar bulaşmaz.
Karaciğer hastalıkları cinsel temasla geçer mi?,Hepatit B ve C cinsel temasla bulaşabilir; diğer hastalıklar bulaşmaz.
Karaciğer hastalıkları cinsel ilişkiyle bulaşır mı?,Hepatit B ve C cinsel temasla bulaşabilir; diğer hastalıklar bulaşmaz.
Karaciğer hastalığı olanla cinsel temas riskli mi?,Hepatit B ve C cinsel temasla bulaşabilir; diğer hastalıklar bulaşmaz.
Karaciğer yağlanması geri döner mi,Erken dönemde kilo verme ve yaşam tarzı değişikliğiyle tamamen düzelebilir.
Karaciğer yağlanması tamamen iyileşir mi?,Erken dönemde kilo verme ve yaşam tarzı değişikliğiyle tamamen düzelebilir.
Yağlı karaciğer düzelebilir mi?,Erken dönemde kilo verme ve yaşam tarzı değişikliğiyle tamamen düzelebilir.
Karaciğer yağlanması geçer mi?,Erken dönemde kilo verme ve yaşam tarzı değişikliğiyle tamamen düzelebilir.
Karaciğer fonksiyon testleri nelerdir,"ALT, AST, ALP, GGT, bilirubin ve albümin değerleri değerlendirilir."
Karaciğerin çalışmasını gösteren testler hangileridir?,"ALT, AST, ALP, GGT, bilirubin ve albümin değerleri değerlendirilir."
Karaciğer fonksiyonunu ölçen tahliller nelerdir?,"ALT, AST, ALP, GGT, bilirubin ve albümin değerleri değerlendirilir."
Karaciğer fonksiyon testleri neleri kapsar?,"ALT, AST, ALP, GGT, bilirubin ve albümin değerleri değerlendirilir."
Karaciğer ile ilgili: ALT nedir,Alanin aminotransferaz; karaciğer hasarında kanda yükselir.
Karaciğer ile ilgili: ALT testi neyi gösterir?,Alanin aminotransferaz; karaciğer hasarında kanda yükselir.
Karaciğer ile ilgili: Alanin aminotransferaz nedir?,Alanin aminotransferaz; karaciğer hasarında kanda yükselir.
Karaciğer ile ilgili: ALT yüksekliği ne anlama gelir?,Alanin aminotransferaz; karaciğer hasarında kanda yükselir.
Karaciğer ile ilgili: AST nedir,Aspartat aminotransferaz; karaciğer ve kalp kası hasarında artabilir.
Karaciğer ile ilgili: AST testi neyi gösterir?,Aspartat aminotransferaz; karaciğer ve kalp kası hasarında artabilir.
Karaciğer ile ilgili: Aspartat aminotransferaz nedir?,Aspartat aminotransferaz; karaciğer ve kalp kası hasarında artabilir.
Karaciğer ile ilgili: AST yüksekliği ne demek?,Aspartat aminotransferaz; karaciğer ve kalp kası hasarında artabilir.
Karaciğer enzimi yüksekliği tehlikeli mi,Tek başına tanı koydurmaz; sebep araştırılmalı ve doktor takibi gerekir.
Karaciğer enzimlerinin yüksek olması riskli mi?,Tek başına tanı koydurmaz; sebep araştırılmalı ve doktor takibi gerekir.
Karaciğer enzimleri yüksek çıkarsa ne olur?,Tek başına tanı koydurmaz; sebep araştırılmalı ve doktor takibi gerekir.
Karaciğer enzimleri yüksekse ne yapmalı?,Tek başına tanı koydurmaz; sebep araştırılmalı ve doktor takibi gerekir.
Karaciğer ile ilgili: Hepatit B taşıyıcısı ne demek,Kişi aktif hastalık belirtisi göstermese de virüsü başkalarına bulaştırabilir.
Karaciğer ile ilgili: Hepatit B taşıyıcılığı nedir?,Kişi aktif hastalık belirtisi göstermese de virüsü başkalarına bulaştırabilir.
Karaciğer ile ilgili: Hepatit B virüsü taşıyan ne anlama gelir?,Kişi aktif hastalık belirtisi göstermese de virüsü başkalarına bulaştırabilir.
Karaciğer ile ilgili: Hepatit B taşıyıcısı olmak ne demek?,Kişi aktif hastalık belirtisi göstermese de virüsü başkalarına bulaştırabilir.
Karaciğer ile ilgili: Hepatit B taşıyıcısı asker olabilir mi,Duruma göre değişir; aktif hastalık yoksa genelde engel değildir ama rapor gerektirir.
Karaciğer ile ilgili: Hepatit B taşıyıcıları askerlik yapabilir mi?,Duruma göre değişir; aktif hastalık yoksa genelde engel değildir ama rapor gerektirir.
Karaciğer ile ilgili: Hepatit B taşıyıcısı askere alınır mı?,Duruma göre değişir; aktif hastalık yoksa genelde engel değildir ama rapor gerektirir.
Karaciğer ile ilgili: Hepatit B taşıyıcısı askerlikte sorun olur mu?,Duruma göre değişir; aktif hastalık yoksa genelde engel değildir ama rapor gerektirir.
Karaciğer ile ilgili: Hepatit A aşısı kimlere önerilir,"Seyahat edenlere, hijyen koşulları kötü bölgelerde yaşayanlara önerilir."
Karaciğer ile ilgili: Hepatit A aşısı hangi gruplara yapılmalı?,"Seyahat edenlere, hijyen koşulları kötü bölgelerde yaşayanlara önerilir."
